league,team,team_uri,coach,coach_uri
Liga Portugal,F.C. Penafiel,http://www.wikidata.org/entity/Q1387471,Miguel Leal,http://www.wikidata.org/entity/Q17386243
Liga Portugal,FC Porto,http://www.wikidata.org/entity/Q128446,Vítor Bruno,http://www.wikidata.org/entity/Q7944780
Liga Portugal,Vitória S.C.,http://www.wikidata.org/entity/Q223450,Rui Borges,http://www.wikidata.org/entity/Q121147850
Liga Portugal,FC Famalicão,http://www.wikidata.org/entity/Q1387105,Hugo Oliveira,http://www.wikidata.org/entity/Q131452135
Liga Portugal,AVS Futebol SAD,http://www.wikidata.org/entity/Q120775987,Daniel Ramos,http://www.wikidata.org/entity/Q27830950
Liga Portugal,F.C. Arouca,http://www.wikidata.org/entity/Q1386869,Vasco Seabra,http://www.wikidata.org/entity/Q29866591
Liga Portugal,Boavista F.C.,http://www.wikidata.org/entity/Q219703,Cristiano Bacci,http://www.wikidata.org/entity/Q5186291
Liga Portugal,S.C. Braga,http://www.wikidata.org/entity/Q75684,Carlos Carvalhal,http://www.wikidata.org/entity/Q1042799
Liga Portugal,Rio Ave F.C.,http://www.wikidata.org/entity/Q622432,Petit,http://www.wikidata.org/entity/Q294881
Liga Portugal,S.L. Benfica,http://www.wikidata.org/entity/Q131499,Bruno Lage,http://www.wikidata.org/entity/Q56434101
Liga Portugal,Gil Vicente F.C.,http://www.wikidata.org/entity/Q926438,Bruno Pinheiro,http://www.wikidata.org/entity/Q108266021
Liga Portugal,Portimonense S.C.,http://www.wikidata.org/entity/Q621120,Paulo Sérgio Bento Brito,http://www.wikidata.org/entity/Q1361370
Liga Portugal,Moreirense F.C.,http://www.wikidata.org/entity/Q1346314,César Peixoto,http://www.wikidata.org/entity/Q981657
Liga Portugal,F.C. Vizela,http://www.wikidata.org/entity/Q1387855,Álvaro Pacheco,http://www.wikidata.org/entity/Q108032921
Liga Portugal,S.C. Farense,http://www.wikidata.org/entity/Q744353,Tozé Marreco,http://www.wikidata.org/entity/Q2407030
Liga Portugal,G.D. Chaves,http://www.wikidata.org/entity/Q543467,Vítor Campelos,http://www.wikidata.org/entity/Q106809143
Liga Portugal,C.F. Estrela da Amadora,http://www.wikidata.org/entity/Q838134,José Faria,http://www.wikidata.org/entity/Q131145528
Liga Portugal,G.D. Estoril Praia,http://www.wikidata.org/entity/Q634829,Ian Cathro,http://www.wikidata.org/entity/Q18205458
Liga Portugal,Sporting CP,http://www.wikidata.org/entity/Q75729,João Pereira,http://www.wikidata.org/entity/Q192565
Liga Portugal,S.C. Beira-Mar,http://www.wikidata.org/entity/Q688300,Ricardo Sousa,http://www.wikidata.org/entity/Q325599
Liga Portugal,Casa Pia A.C.,http://www.wikidata.org/entity/Q1046440,João Pereira,http://www.wikidata.org/entity/Q131145596
Liga Portugal, AVS,https://www.wikidata.org/entity/Q120775987,Daniel Ramos,https://www.wikidata.org/wiki/Q27830950
Premier League,Brentford F.C.,http://www.wikidata.org/entity/Q19571,Thomas Frank,http://www.wikidata.org/entity/Q13469562
Premier League,Crystal Palace F.C.,http://www.wikidata.org/entity/Q19467,Oliver Glasner,http://www.wikidata.org/entity/Q874777
Premier League,Tottenham Hotspur F.C.,http://www.wikidata.org/entity/Q18741,Ange Postecoglou,http://www.wikidata.org/entity/Q2849301
Premier League,Aston Villa F.C.,http://www.wikidata.org/entity/Q18711,Unai Emery,http://www.wikidata.org/entity/Q295610
Premier League,Fulham F.C.,http://www.wikidata.org/entity/Q18708,Marco Silva,http://www.wikidata.org/entity/Q6757714
Premier League,Liverpool F.C.,http://www.wikidata.org/entity/Q1130849,Arne Slot,http://www.wikidata.org/entity/Q1029223
Premier League,Ipswich Town F.C.,http://www.wikidata.org/entity/Q9653,Kieran McKenna,http://www.wikidata.org/entity/Q57017948
Premier League,Leicester City F.C.,http://www.wikidata.org/entity/Q19481,Ruud van Nistelrooy,http://www.wikidata.org/entity/Q45626
Premier League,Nottingham Forest F.C.,http://www.wikidata.org/entity/Q19490,Nuno Espírito Santo,http://www.wikidata.org/entity/Q372372
Premier League,Chelsea F.C.,http://www.wikidata.org/entity/Q9616,Enzo Maresca,http://www.wikidata.org/entity/Q317282
Premier League,Newcastle United F.C.,http://www.wikidata.org/entity/Q18716,Eddie Howe,http://www.wikidata.org/entity/Q5336135
Premier League,Manchester City F.C.,http://www.wikidata.org/entity/Q50602,Pep Guardiola,http://www.wikidata.org/entity/Q164038
Premier League,Manchester United F.C.,http://www.wikidata.org/entity/Q18656,Ruben Amorim,http://www.wikidata.org/entity/Q368682
Premier League,AFC Bournemouth,http://www.wikidata.org/entity/Q19568,Andoni Iraola,http://www.wikidata.org/entity/Q317216
Premier League,West Ham United F.C.,http://www.wikidata.org/entity/Q18747,Julen Lopetegui,http://www.wikidata.org/entity/Q115119
