name,uri
Canada,http://www.wikidata.org/entity/Q16
Japan,http://www.wikidata.org/entity/Q17
Norway,http://www.wikidata.org/entity/Q20
Northern Ireland,http://www.wikidata.org/entity/Q26
Ireland,http://www.wikidata.org/entity/Q27
Hungary,http://www.wikidata.org/entity/Q28
Spain,http://www.wikidata.org/entity/Q29
USA,http://www.wikidata.org/entity/Q30
Belgium,http://www.wikidata.org/entity/Q31
Luxembourg,http://www.wikidata.org/entity/Q32
Finland,http://www.wikidata.org/entity/Q33
Sweden,http://www.wikidata.org/entity/Q34
Denmark,http://www.wikidata.org/entity/Q35
Poland,http://www.wikidata.org/entity/Q36
Lithuania,http://www.wikidata.org/entity/Q37
Italy,http://www.wikidata.org/entity/Q38
Switzerland,http://www.wikidata.org/entity/Q39
Greece,http://www.wikidata.org/entity/Q41
Turkey,http://www.wikidata.org/entity/Q43
Portugal,http://www.wikidata.org/entity/Q45
Netherlands,http://www.wikidata.org/entity/Q55
Uruguay,http://www.wikidata.org/entity/Q77
Egypt,http://www.wikidata.org/entity/Q79
Mexico,http://www.wikidata.org/entity/Q96
Kenya,http://www.wikidata.org/entity/Q114
Ethiopia,http://www.wikidata.org/entity/Q115
Ghana,http://www.wikidata.org/entity/Q117
France,http://www.wikidata.org/entity/Q142
England,http://www.wikidata.org/entity/Q145
People's Republic of China,http://www.wikidata.org/entity/Q148
Brazil,http://www.wikidata.org/entity/Q155
Russia,http://www.wikidata.org/entity/Q159
Germany,http://www.wikidata.org/entity/Q183
Belarus,http://www.wikidata.org/entity/Q184
Iceland,http://www.wikidata.org/entity/Q189
Estonia,http://www.wikidata.org/entity/Q191
Latvia,http://www.wikidata.org/entity/Q211
Czech Republic,http://www.wikidata.org/entity/Q213
Slovakia,http://www.wikidata.org/entity/Q214
Slovenia,http://www.wikidata.org/entity/Q215
Romania,http://www.wikidata.org/entity/Q218
Bulgaria,http://www.wikidata.org/entity/Q219
North Macedonia,http://www.wikidata.org/entity/Q221
Albania,http://www.wikidata.org/entity/Q222
Croatia,http://www.wikidata.org/entity/Q224
Bosnia-Herzegovina,http://www.wikidata.org/entity/Q225
Azerbaijan,http://www.wikidata.org/entity/Q227
Andorra,http://www.wikidata.org/entity/Q228
Cyprus,http://www.wikidata.org/entity/Q229
Kazakhstan,http://www.wikidata.org/entity/Q232
Malta,http://www.wikidata.org/entity/Q233
Montenegro,http://www.wikidata.org/entity/Q236
Vatican City,http://www.wikidata.org/entity/Q237
Cuba,http://www.wikidata.org/entity/Q241
Indonesia,http://www.wikidata.org/entity/Q252
South Africa,http://www.wikidata.org/entity/Q258
Algeria,http://www.wikidata.org/entity/Q262
Uzbekistan,http://www.wikidata.org/entity/Q265
Chile,http://www.wikidata.org/entity/Q298
Singapore,http://www.wikidata.org/entity/Q334
Liechtenstein,http://www.wikidata.org/entity/Q347
Bahrain,http://www.wikidata.org/entity/Q398
Armenia,http://www.wikidata.org/entity/Q399
Australia,http://www.wikidata.org/entity/Q408
Argentina,http://www.wikidata.org/entity/Q414
North Korea,http://www.wikidata.org/entity/Q423
Cambodia,http://www.wikidata.org/entity/Q424
East Timor,http://www.wikidata.org/entity/Q574
Chad,http://www.wikidata.org/entity/Q657
New Zealand,http://www.wikidata.org/entity/Q664
India,http://www.wikidata.org/entity/Q668
Tuvalu,http://www.wikidata.org/entity/Q672
Samoa,http://www.wikidata.org/entity/Q683
Solomon Islands,http://www.wikidata.org/entity/Q685
Vanuatu,http://www.wikidata.org/entity/Q686
Papua New Guinea,http://www.wikidata.org/entity/Q691
Palau,http://www.wikidata.org/entity/Q695
Nauru,http://www.wikidata.org/entity/Q697
Federated States of Micronesia,http://www.wikidata.org/entity/Q702
Mongolia,http://www.wikidata.org/entity/Q711
Fiji,http://www.wikidata.org/entity/Q712
Venezuela,http://www.wikidata.org/entity/Q717
Paraguay,http://www.wikidata.org/entity/Q733
Guyana,http://www.wikidata.org/entity/Q734
Ecuador,http://www.wikidata.org/entity/Q736
Colombia,http://www.wikidata.org/entity/Q739
Bolivia,http://www.wikidata.org/entity/Q750
Trinidad and Tobago,http://www.wikidata.org/entity/Q754
Saint Vincent and the Grenadines,http://www.wikidata.org/entity/Q757
Saint Lucia,http://www.wikidata.org/entity/Q760
Saint Kitts and Nevis,http://www.wikidata.org/entity/Q763
Jamaica,http://www.wikidata.org/entity/Q766
Grenada,http://www.wikidata.org/entity/Q769
Guatemala,http://www.wikidata.org/entity/Q774
The Bahamas,http://www.wikidata.org/entity/Q778
Antigua and Barbuda,http://www.wikidata.org/entity/Q781
Honduras,http://www.wikidata.org/entity/Q783
Dominica,http://www.wikidata.org/entity/Q784
Dominican Republic,http://www.wikidata.org/entity/Q786
El Salvador,http://www.wikidata.org/entity/Q792
Iran,http://www.wikidata.org/entity/Q794
Iraq,http://www.wikidata.org/entity/Q796
Costa Rica,http://www.wikidata.org/entity/Q800
Israel,http://www.wikidata.org/entity/Q801
Yemen,http://www.wikidata.org/entity/Q805
Jordan,http://www.wikidata.org/entity/Q810
Nicaragua,http://www.wikidata.org/entity/Q811
Kyrgyzstan,http://www.wikidata.org/entity/Q813
Laos,http://www.wikidata.org/entity/Q819
Lebanon,http://www.wikidata.org/entity/Q822
Maldives,http://www.wikidata.org/entity/Q826
Malaysia,http://www.wikidata.org/entity/Q833
Myanmar,http://www.wikidata.org/entity/Q836
Nepal,http://www.wikidata.org/entity/Q837
Oman,http://www.wikidata.org/entity/Q842
Pakistan,http://www.wikidata.org/entity/Q843
Qatar,http://www.wikidata.org/entity/Q846
Saudi Arabia,http://www.wikidata.org/entity/Q851
Sri Lanka,http://www.wikidata.org/entity/Q854
Syria,http://www.wikidata.org/entity/Q858
Tajikistan,http://www.wikidata.org/entity/Q863
Taiwan,http://www.wikidata.org/entity/Q865
Thailand,http://www.wikidata.org/entity/Q869
Turkmenistan,http://www.wikidata.org/entity/Q874
UA Emirates,http://www.wikidata.org/entity/Q878
Vietnam,http://www.wikidata.org/entity/Q881
South Korea,http://www.wikidata.org/entity/Q884
Afghanistan,http://www.wikidata.org/entity/Q889
Bangladesh,http://www.wikidata.org/entity/Q902
Mali,http://www.wikidata.org/entity/Q912
Angola,http://www.wikidata.org/entity/Q916
Bhutan,http://www.wikidata.org/entity/Q917
Brunei,http://www.wikidata.org/entity/Q921
Tanzania,http://www.wikidata.org/entity/Q924
Philippines,http://www.wikidata.org/entity/Q928
Central African Republic,http://www.wikidata.org/entity/Q929
Togo,http://www.wikidata.org/entity/Q945
Tunisia,http://www.wikidata.org/entity/Q948
Zambia,http://www.wikidata.org/entity/Q953
Zimbabwe,http://www.wikidata.org/entity/Q954
South Sudan,http://www.wikidata.org/entity/Q958
Benin,http://www.wikidata.org/entity/Q962
Botswana,http://www.wikidata.org/entity/Q963
Burkina Faso,http://www.wikidata.org/entity/Q965
Burundi,http://www.wikidata.org/entity/Q967
Comoros,http://www.wikidata.org/entity/Q970
Congo,http://www.wikidata.org/entity/Q971
DR Congo,http://www.wikidata.org/entity/Q974
