Id,Name,Position,Date of Birth,Country,Market Value,Team,TeamId,PictureUrl
316,Oliver Baumann,Goalkeeper,1990-06-02,Germany,3000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/55089-1657200130.jpg?lm=1
75703,Luca Philipp,Goalkeeper,2000-11-28,Germany,300000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/432671-1657200196.jpg?lm=1
220259,Lukas Petersson,Goalkeeper,2004-02-09,Iceland,150000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/718460-1723920319.jpg?lm=1
169668,Arthur Chaves,Defence,2001-01-29,Brazil,1200000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/875332-1731017725.jpg?lm=1
188239,Robin Hranac,Defence,2000-01-29,Czech Republic,8000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/620217-1713471898.jpg?lm=1
261401,Lars Strobl,Defence,2005-04-15,Germany,250000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/85543-1695367888.jpg?lm=1
9405,Jacob Bruun Larsen,Midfield,1998-09-19,Denmark,6000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/293281-1657201254.jpg?lm=1
113457,Alexander Prass,Midfield,2001-05-26,Austria,12000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/434116-1723921044.jpg?lm=1
182245,Umut Tohumcu,Midfield,2004-08-11,Germany,7000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/569031-1691269357.jpg?lm=1
261437,Florian Micheler,Midfield,2005-05-17,Austria,500000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/808664-1730192007.jpg?lm=1
63218,Haris Tabaković,Offence,1994-06-20,Bosnia-Herzegovina,3000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/203123-1720778399.jpg?lm=1
99042,Adam Hložek,Offence,2002-07-25,Czech Republic,18000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/552057-1695368334.jpg?lm=1
212180,Simon Kalambayi,Offence,2005-02-20,France,750000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/927353-1688714441.jpg?lm=1
65843,Anton Stach,Central Midfield,1998-11-15,Germany,15000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/344069-1723921116.jpg?lm=1
65441,Marius Bülter,Left Winger,1993-03-29,Germany,2500000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/116088-1691269482.jpg?lm=1
63207,Attila Szalai,Centre-Back,1998-01-20,Hungary,2000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/263380-1691269895.jpg?lm=1
30548,Ozan Kabak,Centre-Back,2000-03-25,Turkey,10000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/361260-1691269223.jpg?lm=1
15103,Diadié Samassékou,Defensive Midfield,1996-01-11,Mali,1000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/315604-1657200749.jpg?lm=1
10724,Mërgim Berisha,Centre-Forward,1998-05-11,Germany,10000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/307924-1691251216.jpg?lm=1
6836,Grischa Prömel,Central Midfield,1995-01-09,Germany,7000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/234029-1657200969.jpg?lm=1
404,Florian Grillitsch,Defensive Midfield,1995-08-07,Austria,6500000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/195736-1691269821.jpg?lm=1
399,Dennis Geiger,Central Midfield,1998-06-10,Germany,3000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/251309-1723921207.jpg?lm=1
326,Ihlas Bebou,Centre-Forward,1994-04-23,Togo,4000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/237164-1723921163.jpg?lm=1
318,Andrej Kramarić,Centre-Forward,1991-06-19,Croatia,5000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/46580-1657201316.jpg?lm=1
317,Pavel Kadeřábek,Right-Back,1992-04-25,Czech Republic,3000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/143798-1657200722.jpg?lm=1
315,Kevin Akpoguma,Centre-Back,1995-04-19,Nigeria,3000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/160241-1723920979.jpg?lm=1
234,Christopher Lenz,Left-Back,1994-09-22,Germany,1500000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/159844-1663065776.jpg?lm=1
248657,Max Moerstedt,Centre-Forward,2006-01-15,Germany,3000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/923595-1723920909.jpg?lm=1
213739,Tim Drexler,Centre-Back,2005-03-06,Germany,4000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/822958-1665473351.jpg?lm=1
203039,Stanley N'Soki,Centre-Back,1999-04-09,France,2500000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/371141-1691269161.jpg?lm=1
172574,Tom Bischof,Attacking Midfield,2005-06-28,Germany,3500000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/822959-1723921256.jpg?lm=1
150667,Marco John,Left-Back,2002-04-02,Germany,1500000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/450234-1657201014.jpg?lm=1
146716,David Jurásek,Left-Back,2000-08-07,Czech Republic,8000000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/500054-1701333965.jpg?lm=1
121279,Valentin Gendrey,Right-Back,2000-06-21,France,8500000,TSG 1899 Hoffenheim,2,https://img.a.transfermarkt.technology/portrait/medium/569387-1663745931.jpg?lm=1
