Id,Name,Position,Date of Birth,Country,Market Value,Team,TeamId,PictureUrl
32570,Unai Simón,Goalkeeper,1997-06-11,Spain,30000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/262396-1709674901.png?lm=1
172017,Julen Agirrezabala,Goalkeeper,2000-12-26,Spain,10000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/625014-1709674945.png?lm=1
203459,Álex Padilla,Goalkeeper,2003-09-01,Spain,2000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/834483-1709676711.png?lm=1
264158,Oier Gastesi,Goalkeeper,2003-10-30,Spain,1200000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/625660-1695238891.jpg?lm=1
270747,Peio Canales,Midfield,2005-01-17,Spain,1200000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/534379-1630918134.jpg?lm=1
246633,Adama Boiro,Left-Back,2002-06-22,Spain,1500000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/710671-1709677000.png?lm=1
244599,Mikel Jauregizar,Central Midfield,2003-11-13,Spain,3000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/938729-1709675994.png?lm=1
202335,Unai Gomez,Attacking Midfield,2003-05-25,Spain,6000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/834752-1709676122.png?lm=1
185137,Álvaro Djaló,Left Winger,1999-08-16,Spain,15000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/671649-1732115086.jpg?lm=1
180291,Javi Martón,Centre-Forward,1999-05-06,Spain,500000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/711394-1712568577.jpg?lm=1
172027,Nico Serrano,Left Winger,2003-03-05,Spain,1400000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/668183-1731352737.png?lm=1
168663,Benat Prados,Central Midfield,2001-02-08,Spain,15000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/625047-1709675858.png?lm=1
157135,Nico Williams,Left Winger,2002-07-12,Spain,70000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/709187-1709676169.png?lm=1
151439,Aitor Paredes Casamichana,Centre-Back,2000-04-29,Spain,22000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/591916-1709675052.png?lm=1
126878,Oihan Sancet,Attacking Midfield,2000-04-25,Spain,40000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/571020-1709676037.png?lm=1
96868,Mikel Vesga,Defensive Midfield,1993-04-08,Spain,4000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/300168-1709675412.png?lm=1
81565,Gorka Guruzeta,Centre-Forward,1996-09-12,Spain,18000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/340205-1709676375.png?lm=1
33091,Andoni Gorosabel,Right-Back,1996-08-04,Spain,5000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/289255-1604301901.jpg?lm=1
32629,Iñaki Williams,Right Winger,1994-06-15,Ghana,25000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/255508-1709676323.png?lm=1
32618,Daniel Vivian,Centre-Back,1999-07-05,Spain,30000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/524000-1709674998.png?lm=1
32599,De Marcos,Right-Back,1989-04-14,Spain,60000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/326330-1656499973.png?lm=1
32584,Unai Núñez,Centre-Back,1997-01-30,Spain,7000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/338285-1620308088.jpg?lm=1
32581,Iñigo Lekue,Right-Back,1993-05-04,Spain,3000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/255501-1709675295.png?lm=1
32579,Yeray Álvarez,Centre-Back,1995-01-24,Spain,8000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/255488-1709675129.png?lm=1
32481,Ruiz de Galarreta,Central Midfield,1993-08-06,Spain,5000000,Athletic Club,77,https://img.a.transfermarkt.technology/portrait/medium/126751-1709675810.png?lm=1
