Id,Name,Position,Date of Birth,Country,Market Value,Team,TeamId,PictureUrl
1767,Marco Sportiello,Goalkeeper,1992-05-10,Italy,1500000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/199976-1661351013.jpg?lm=1
8390,Mike Maignan,Goalkeeper,1995-07-03,France,38000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/182906-1681459155.jpg?lm=1
176943,Lapo Nava,Goalkeeper,2004-01-22,Italy,20000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/357992-1695028689.jpg?lm=1
185551,Noah Raveyre,Goalkeeper,2005-06-22,France,15000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/535955-1730127360.jpg?lm=1
251128,Lorenzo Torriani,Goalkeeper,2005-01-31,Italy,500000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/939745-1730184012.jpg?lm=1
188876,Andrei Coubis,Defence,2003-09-29,Romania,1500000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/303657-1699432718.jpg?lm=1
264837,Hugo Cuenca,Midfield,2005-01-08,Paraguay,0,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
264826,Mattia Liberali,Offence,2007-04-06,Italy,3000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/110923-1695107834.jpg?lm=1
16058,Noah Okafor,Left Winger,2000-05-24,Switzerland,20000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/346890-1692879855.jpg?lm=1
15892,Rafael Leão,Left Winger,1999-06-10,Portugal,75000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/357164-1730126553.jpg?lm=1
11528,Fikayo Tomori,Centre-Back,1997-12-19,England,32000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/303254-1684856117.jpg?lm=1
8159,Ruben Loftus-Cheek,Central Midfield,1996-01-23,England,25000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/202886-1692879593.jpg?lm=1
7985,Tammy Abraham,Centre-Forward,1997-10-02,England,25000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/331726-1725531680.jpg?lm=1
7819,Álvaro Morata,Centre-Forward,1992-10-23,Spain,16000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/128223-1719989301.jpg?lm=1
7696,Tijjani Reijnders,Central Midfield,1998-07-29,Netherlands,30000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/460939-1676466080.jpg?lm=1
6723,Luka Jović,Centre-Forward,1997-12-23,Serbia,5000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/257462-1657519856.jpg?lm=1
2505,Ismael Bennacer,Defensive Midfield,1997-12-01,Algeria,18000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/351816-1663575089.jpg?lm=1
1811,Alessandro Florenzi,Right-Back,1991-03-11,Italy,2000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/130365-1663574873.jpg?lm=1
1753,Matteo Gabbia,Centre-Back,1999-10-21,Italy,12000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/323167-1661351918.jpg?lm=1
1738,Davide Calabria,Right-Back,1996-12-06,Italy,10000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/262523-1684856316.jpg?lm=1
1131,Emerson Royal,Right-Back,1999-01-14,Brazil,18000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/476344-1665609182.jpg?lm=1
145,Christian Pulisic,Right Winger,1998-09-18,USA,50000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/315779-1691696699.jpg?lm=1
71,Theo Hernández,Left-Back,1997-10-06,France,60000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/339808-1725532072.jpg?lm=1
251141,Diego Sia,Left Winger,2006-03-10,Italy,1000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/873981-1695026273.jpg?lm=1
247120,Victor Eletu,Defensive Midfield,2005-04-01,Nigeria,4500000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/392956-1730185180.jpg?lm=1
242550,Francesco Camarda,Centre-Forward,2008-03-10,Italy,900000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/216872-1717660248.jpg?lm=1
227048,Álex Jiménez,Right-Back,2005-05-08,Spain,4000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/741257-1730123049.jpg?lm=1
215621,Kevin Zeroli,Central Midfield,2005-01-11,Italy,3500000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/883349-1696430935.jpg?lm=1
215616,Davide Bartesaghi,Left-Back,2005-12-29,Italy,35000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/394300-1730126974.jpg?lm=1
150669,Yunus Musah,Central Midfield,2002-11-29,USA,22000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/503991-1684913655.jpg?lm=1
144950,Filippo Terracciano,Right-Back,2003-02-08,Italy,4500000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/631007-1663671440.jpg?lm=1
142732,Malick Thiaw,Centre-Back,2001-08-08,Germany,20000000,AC Milan,98,https://img.a.transfermarkt.technology/portrait/medium/521964-1682063635.jpg?lm=1
