Id,Name,Crest,Colors,Foundation,Stadium,Address,Coach,Value,CompetitionId
2,TSG 1899 Hoffenheim,https://crests.football-data.org/2.png,Blue / White,1921,PreZero Arena,Horrenberger Straße 58 Zuzenhausen 74939,Christian Ilzer,166150000,2002
3,Bayer 04 Leverkusen,https://crests.football-data.org/3.png,Red / White / Black,1904,BayArena,Bismarckstr. 122-124 Leverkusen 51373,Xabi Alonso,635100000,2002
4,Borussia Dortmund,https://crests.football-data.org/4.png,Black / Yellow,1909,Signal Iduna Park,Rheinlanddamm 207-209 Dortmund 44137,Nuri Şahin,474900000,2002
5,FC Bayern München,https://crests.football-data.org/5.png,Red / White / Blue,1900,Allianz Arena,Säbenerstr. 51 München 81547,Vincent Kompany,936700000,2002
10,VfB Stuttgart,https://crests.football-data.org/10.png,White / Red,1893,Mercedes-Benz Arena,Mercedesstraße 109 Stuttgart 70372,Sebastian Hoeneß,313730000,2002
11,VfL Wolfsburg,https://crests.football-data.org/11.png,Green / White,1945,Volkswagen Arena,In den Allerwiesen 1 Wolfsburg 38446,Ralph Hasenhüttl,215000000,2002
12,SV Werder Bremen,https://crests.football-data.org/12.png,Green / White,1899,Weserstadion,Franz-Böhmert-Str. 1c Bremen 28205,Ole Werner,119350000,2002
15,1. FSV Mainz 05,https://crests.football-data.org/15.png,Red / White,1905,Opel Arena,Dr.-Martin-Luther-King-Weg 20 Mainz 55122,Bo Henriksen,93450000,2002
16,FC Augsburg,https://crests.football-data.org/16.png,Red / Green / White,1907,WWK Arena,Donauwörther Straße 170 Augsburg 86154,Jess Thorup,99330000,2002
17,SC Freiburg,https://crests.football-data.org/17.png,Red / White,1912,Schwarzwald-Stadion,Schwarzwaldstraße 193 Freiburg 79117,Julian Schuster,169050000,2002
18,Borussia Mönchengladbach,https://crests.football-data.org/18.png,Black / White / Green,1900,Stadion im Borussia-Park,Hennes-Weisweiler-Allee 1 Mönchengladbach 41179,Gerardo Seoane,139700000,2002
19,Eintracht Frankfurt,https://crests.football-data.org/19.png,Red / Black,1899,Deutsche Bank Park,Mörfelder Landstraße 362 Frankfurt am Main 60528,Dino Toppmöller,279700000,2002
20,FC St. Pauli 1910,https://crests.football-data.org/20.png,Brown / White,1910,Millerntor-Stadion,Auf dem Heiligengeistfeld Hamburg 20359,Alexander Blessin,40730000,2002
28,1. FC Union Berlin,https://crests.football-data.org/28.png,Red / White,1906,Stadion An der Alten Försterei,An der Wuhlheide 263 Berlin 12555,Bo Svensson,122180000,2002
36,VfL Bochum 1848,https://crests.football-data.org/36.png,Blue / White,1849,Vonovia Ruhrstadion,Castroper Straße 145 Bochum 44791,Dieter Hecking,60750000,2002
44,1. FC Heidenheim 1846,https://crests.football-data.org/44.png,Blue / Red / White,1846,Voith-Arena,Schloßhaustraße 162 Heidenheim 89522,Frank Schmidt,63300000,2002
720,Holstein Kiel,https://crests.football-data.org/720.png,Blue / Red / White,1844,Holstein-Stadion,Steenbeker Weg 150 Kiel 24106,Marcel Rapp,36300000,2002
721,RB Leipzig,https://crests.football-data.org/721.png,White / Red,2009,Red Bull Arena,Neumarkt 29-33 Leipzig 04109,Marco Rose,517900000,2002
