Id,Name,Crest,Colors,Foundation,Stadium,Address,Coach,Value,CompetitionId
57,Arsenal FC,https://crests.football-data.org/57.png,Red / White,1886,Emirates Stadium,75 Drayton Park London N5 1BU,Mikel Arteta,1170000000,2021
58,Aston Villa FC,https://crests.football-data.org/58.png,Claret / Sky Blue,1872,Villa Park,Villa Park Birmingham B6 6HE,Unai Emery,615450000,2021
61,Chelsea FC,https://crests.football-data.org/61.png,Royal Blue / White,1905,Stamford Bridge,Fulham Road London SW6 1HS,Enzo Maresca,963200000,2021
62,Everton FC,https://crests.football-data.org/62.png,Blue / White,1878,Goodison Park,Goodison Park Liverpool L4 4EL,Sean Dyche,353100000,2021
63,Fulham FC,https://crests.football-data.org/63.png,White / Black,1879,Craven Cottage,"Craven Cottage, Stevenage Road London SW6 6HH",Marco Silva,346000000,2021
64,Liverpool FC,https://crests.football-data.org/64.png,Red / White,1892,Anfield,Anfield Road Liverpool L4 0TH,Arne Slot,931000000,2021
65,Manchester City FC,https://crests.football-data.org/65.png,Sky Blue / White,1880,Etihad Stadium,SportCity Manchester M11 3FF,Pep Guardiola,1260000000,2021
66,Manchester United FC,https://crests.football-data.org/66.png,Red / White,1878,Old Trafford,Sir Matt Busby Way Manchester M16 0RA,Ruben Amorim,854150000,2021
67,Newcastle United FC,https://crests.football-data.org/67.png,Black / White,1881,St. James' Park,Sports Direct Arena Newcastle upon Tyne NE1 4ST,Eddie Howe,657650000,2021
73,Tottenham Hotspur FC,https://crests.football-data.org/73.png,Navy Blue / White,1882,Tottenham Hotspur Stadium,"Bill Nicholson Way, 748 High Road London N17 0AP",Ange Postecoglou,788300000,2021
76,Wolverhampton Wanderers FC,https://crests.football-data.org/76.png,Black / Gold,1877,Molineux Stadium,Waterloo Road Wolverhampton WV1 4QR,Gary O'Neil,379700000,2021
338,Leicester City FC,https://crests.football-data.org/338.png,Royal Blue / White,1884,King Power Stadium,"The Walkers Stadium, Filbert Way Leicester LE2 7FL",Ruud van Nistelrooy,275600000,2021
340,Southampton FC,https://crests.football-data.org/340.png,Red / White / Black,1885,St. Mary's Stadium,Britannia Road Southampton SO14 5FP,Russell Martin,283200000,2021
349,Ipswich Town FC,https://crests.football-data.org/349.png,Blue / White,1887,Portman Road Stadium,Portman Road Ipswich IP1 2DA,Kieran McKenna,195400000,2021
351,Nottingham Forest FC,https://crests.football-data.org/351.png,Red / White,1865,The City Ground,"Pavilion Road, West Bridgeford Nottingham NG2 5GJ",Nuno Espírito Santo,427700000,2021
354,Crystal Palace FC,https://crests.football-data.org/354.png,Red / Blue,1905,Selhurst Park,Whitehorse Lane London SE25 6PU,Oliver Glasner,438000000,2021
397,Brighton & Hove Albion FC,https://crests.football-data.org/397.png,Blue / White,1898,The American Express Community Stadium,44 North Road Brighton & Hove BN1 1YR,Fabian Hürzeler,574600000,2021
402,Brentford FC,https://crests.football-data.org/402.png,Red / White / Black,1889,Griffin Park,Braemar Road Brentford TW8 0NT,Thomas Frank,403030000,2021
563,West Ham United FC,https://crests.football-data.org/563.png,Claret / Sky Blue,1895,London Stadium,"Queen Elizabeth Olympic Park, London London E20 2ST",Julen Lopetegui,481500000,2021
1044,AFC Bournemouth,https://crests.football-data.org/bournemouth.png,Red / Black,1890,Vitality Stadium,"Dean Court, Kings Park Bournemouth BH7 7AF",Iraola,354850000,2021
