Id,Name,Crest,Colors,Foundation,Stadium,Address,Coach,Value,CompetitionId
496,Rio Ave FC,https://crests.football-data.org/496.png,Green / White,1939,Estádio do Rio Ave Futebol Clube,"Praça da República, n.º35, Apartado 42 Vila do Conde 4481-909",Petit,31700000,2017
498,Sporting Clube de Portugal,https://crests.football-data.org/498.png,Green / White,1906,Estádio José Alvalade,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",João Pereira,443500000,2017
503,FC Porto,https://crests.football-data.org/503.png,Blue / White,1893,Estádio Do Dragão,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",Vítor Bruno,351750000,2017
582,GD Estoril Praia,https://crests.football-data.org/582.png,Yellow / Blue,1939,Estádio António Coimbra da Mota,Estádio António Coimbra da Mota Estoril 2765,Ian Cathro,23050000,2017
583,Moreirense FC,https://crests.football-data.org/583.png,Green / White,1938,P.D. Comendador Joaquim de Almeida Freitas,Avenida Comendador Joaquim de Almeida Freitas Moreira de Cónegos 4815-270,César Peixoto,25950000,2017
712,FC Arouca,https://crests.football-data.org/712.png,Yellow / Blue,1952,Estádio Municipal de Arouca,Rua Doutor Ângelo Miranda Arouca 4540-140,Vasco Seabra,35400000,2017
810,Boavista FC,https://crests.football-data.org/810.png,Black / White,1903,Estádio do Bessa Século XXI,"Rua O Primeiro de Janeiro, Boavista Porto 4100-127",Christiano Bacci,15600000,2017
1903,Sport Lisboa e Benfica,https://crests.football-data.org/1903.png,,1904,Estádio do Sport Lisboa e Benfica,Avenida General Norton de Matos 1500 Lissabon null,Bruno Lage,335500000,2017
5529,CD Nacional,https://crests.football-data.org/5529.png,Black / White,1910,Estádio da Madeira,"Rua do Esmeraldo, n.º 46 Funchal 9060",Tiago Margarido,15680000,2017
5530,CD Santa Clara,https://crests.football-data.org/5530.png,Red / White,1921,Cidade do Futebol,"Rua Comandante Jaime de Sousa, 21 Ponta Delgada 9500",Vasco Matos,15350000,2017
5531,FC Famalicão,https://crests.football-data.org/5531.png,Blue / White,1931,Estádio Municipal 22 de Junho,null Vila Nova de Famalicão null,Armando Evangelista,50400000,2017
5533,Gil Vicente FC,https://crests.football-data.org/5533.png,Red / Blue,1924,Estádio Cidade de Barcelos,"Rua D. Diogo Pinheiro n.º 25, Apartado 197 Barcelos 4750-282",Bruno Pinheiro,23230000,2017
5543,Vitória SC,https://crests.football-data.org/5543.png,White / Black,1922,Estádio Dom Afonso Henriques,"Dr. António Pimenta Machado, Apartado 505 Guimarães 4802-914",Rui Borges,47780000,2017
5602,SC Farense,https://crests.football-data.org/5602.png,Black / White,1910,Estádio de São Lúis,"Praça de Tânger, Ginásio Sede Faro 8005-445",Tozé Marreco,18980000,2017
5613,Sporting Clube de Braga,https://crests.football-data.org/5613.png,Red / White,1921,Estádio Municipal de Braga,"Parque Norte, Monte Crasto, Apartado 12 Braga 4700-087",Carlos Carvalhal,443500000,2017
6618,Casa Pia AC,https://crests.football-data.org/6618.png,Black / White,1920,Estádio Pina Manique,Estádio Pina Manique Lisboa 1500-462,Filipe Martins,20230000,2017
9136,CF Estrela da Amadora,https://crests.football-data.org/9136.png,Red / Green, 1932,Estádio Nacional,"Av. Dr. José Pontes, 2720-206 Amadora",Zé Augusto,16000000,2017
10340,AVS,https://crests.football-data.org/10340.png,Red / White,2023,Estádio do Clube Desportivo das Aves,"Rua Luis Gonzaga Mendes Carvalho 265, 4795-080 Vila das Aves",Daniel Ramos,20230000,2017
