Id,Name,Crest,Colors,Foundation,Stadium,Address,Coach,Value,CompetitionId
98,AC Milan,https://crests.football-data.org/98.png,Red / Black,1899,Stadio Giuseppe Meazza,Via Filippo Turati 3 Milano 20121,Paulo Fonseca,562000000,2019
99,ACF Fiorentina,https://crests.football-data.org/99.png,Purple / White,1926,Stadio Artemio Franchi,Viale Manfredo Fanti 4 Firenze 50137,Raffaele Palladino,258300000,2019
100,AS Roma,https://crests.football-data.org/100.png,Maroon / Orange / White,1927,Stadio Olimpico,"Via di Trigoria km. 3,600 Roma 00128",Claudio Ranieri,88430000,2019
102,Atalanta BC,https://crests.football-data.org/102.png,Black / Blue,1904,Stadio Atleti Azzurri d'Italia,"Corso Europa, 46, Zingonia Ciserano 24040",Gian Piero Gasperini,447600000,2019
103,Bologna FC 1909,https://crests.football-data.org/103.png,Red / Blue / White,1909,Stadio Renato Dall'Ara,Via Casteldebole 10 Bologna 40132,Vincenzo Italiano,276800000,2019
104,Cagliari Calcio,https://crests.football-data.org/104.png,Red / Navy Blue / White,1920,Sardegna Arena,Viale la Plaia 15 Cagliari 09123,Davide Nicola,70350000,2019
107,Genoa CFC,https://crests.football-data.org/107.png,Red / Navy Blue,1893,Stadio Comunale Luigi Ferraris,"Via Ronchi, 67 Genova 16155",Patrick Vieira,144400000,2019
108,FC Internazionale Milano,https://crests.football-data.org/108.png,Blue / Black,1908,Stadio Giuseppe Meazza,Corso Vittorio Emanuele II 9 Milano 20122,Simone Inzaghi,562000000,2019
109,Juventus FC,https://crests.football-data.org/109.png,White / Black,1897,Allianz Stadium,"Corso Galileo Ferraris, 32 Torino 10128",Thiago Motta,594200000,2019
110,SS Lazio,https://crests.football-data.org/110.png,White / Sky Blue,1900,Stadio Olimpico,"Via di Santa Cornelia, 1000 Formello 00060",Marco Baroni,236350000,2019
112,Parma Calcio 1913,https://crests.football-data.org/112.png,White / Black,1913,Stadio Ennio Tardini,"Strada Carlo Pisacane, 4 Parma 43121",Fabio Pecchia,125100000,2019
113,SSC Napoli,https://crests.football-data.org/113.png,Sky Blue / White,1904,Stadio San Paolo,"Centro Tecnico di Castel Volturno, Via S.S. Domitana, Km 35 Castel Volturno 81030",Antonio Conte,429030000,2019
115,Udinese Calcio,https://crests.football-data.org/115.png,White / Black,1896,Dacia Arena,Via Agostino e Angelo Candolini 2 Udine 33100,Kosta Runjaić,128180000,2019
445,Empoli FC,https://crests.football-data.org/445.png,Blue / White,1920,Stadio Carlo Castellani,Piazza Matteotti Empoli 50053,Roberto D'Aversa,68830000,2019
450,Hellas Verona FC,https://crests.football-data.org/450.png,Yellow / Blue,1903,Stadio Marc'Antonio Bentegodi,"Via Evangelista Torricelli, 37 Verona 37136",Paolo Zanetti,88430000,2019
454,Venezia FC,https://crests.football-data.org/454.png,Orange / Black / Green,1907,Stadio Pierluigi Penzo,"Viale Ancona, 43 Venezia 30172",Eusebio Di Francesco,57780000,2019
586,Torino FC,https://crests.football-data.org/586.png,Brown / White,1894,Stadio Olimpico di Torino,Via Arcivescovado 1 Torino 10122,Paolo Vanoli,172030000,2019
5890,US Lecce,https://crests.football-data.org/5890.png,Yellow / Red / Navy Blue,1908,Stadio Comunale Via Del Mare,Via Templari 11 Lecce 73100,Marco Giampaolo,92200000,2019
5911,AC Monza,https://crests.football-data.org/5911.png,Red / White,1912,Stadio Comunale Brianteo,"Via Ragazzi del '99, 14 Monza 20900",Alessandro Nesta,92680000,2019
7397,Como 1907,https://crests.football-data.org/7397.png,Sky Blue / White,1907,Stadio Giuseppe Sinigaglia,Viale Sinigaglia 2 Como 22100,Fàbregas,100550000,2019
