name,uri
Defence,http://www.wikidata.org/entity/Q336286
Midfield,http://www.wikidata.org/entity/Q193592
Left Winger,http://www.wikidata.org/entity/Q114358158
Right-Back,http://www.wikidata.org/entity/Q124355618
Goalkeeper,http://www.wikidata.org/entity/Q201330
Right Midfield,http://www.wikidata.org/entity/Q114358123
Offence,http://www.wikidata.org/entity/Q280658
Centre-Back,http://www.wikidata.org/entity/Q268258
Right Winger,http://www.wikidata.org/entity/Q114358150
Attacking Midfield,http://www.wikidata.org/entity/Q90326494
Left-Back,http://www.wikidata.org/entity/Q124650007
Defensive Midfield,http://www.wikidata.org/entity/Q18691898
Central Midfield,http://www.wikidata.org/entity/Q6008848
Left Midfield,http://www.wikidata.org/entity/Q114358125
Centre-Forward,http://www.wikidata.org/entity/Q9731197
