Player,Club,Market Value
Thibaut Courtois,Real Madrid,25000000
Andriy Lunin,Real Madrid,25000000
Éder Militão,Real Madrid,60000000
Antonio Rüdiger,Real Madrid,25000000
David Alaba,Real Madrid,15000000
,Real Valladolid CF,2800000
Raúl Asencio,Real Madrid,300000
Ferland Mendy,Real Madrid,22000000
Fran García,Real Madrid,15000000
Daniel Carvajal,Real Madrid,12000000
Lucas Vázquez,Real Madrid,4000000
Aurélien Tchouaméni,Real Madrid,100000000
Federico Valverde,Real Madrid,130000000
Eduardo Camavinga,Real Madrid,100000000
Luka Modric,Real Madrid,6000000
Dani Ceballos,Real Madrid,4000000
Jude Bellingham,Real Madrid,180000000
Brahim Díaz,Real Madrid,40000000
Vinicius Junior,Real Madrid,200000000
Rodrygo,Real Madrid,110000000
Arda Güler,Real Madrid,45000000
Marc-André ter Stegen,FC Barcelona,20000000
Iñaki Peña,FC Barcelona,8000000
Ander Astralaga,FC Barcelona,1000000
Ronald Araujo,FC Barcelona,70000000
Pau Cubarsí,FC Barcelona,40000000
Andreas Christensen,FC Barcelona,30000000
Iñigo Martínez,FC Barcelona,5000000
Sergi Domínguez,FC Barcelona,1000000
Alejandro Balde,FC Barcelona,40000000
Jules Koundé,FC Barcelona,55000000
Gavi,FC Barcelona,90000000
Pedri,FC Barcelona,80000000
Frenkie de Jong,FC Barcelona,60000000
Fermín López,FC Barcelona,50000000
Raphinha,FC Barcelona,60000000
Lamine Yamal,FC Barcelona,150000000
Ferran Torres,FC Barcelona,30000000
Robert Lewandowski,FC Barcelona,15000000
Jan Oblak,Atlético de Madrid,28000000
José María Giménez,Atlético de Madrid,22000000
Axel Witsel,Atlético de Madrid,3500000
César Azpilicueta,Atlético de Madrid,2000000
Reinildo Mandava,Atlético de Madrid,9000000
Nahuel Molina,Atlético de Madrid,28000000
Rodrigo De Paul,Atlético de Madrid,30000000
Pablo Barrios,Atlético de Madrid,30000000
Koke,Atlético de Madrid,12000000
Marcos Llorente,Atlético de Madrid,30000000
Thomas Lemar,Atlético de Madrid,7500000
Samuel Lino,Atlético de Madrid,30000000
Rodrigo Riquelme,Atlético de Madrid,25000000
Ángel Correa,Atlético de Madrid,18000000
Antoine Griezmann,Atlético de Madrid,25000000
Álex Remiro,Real Sociedad,25000000
Unai Marrero,Real Sociedad,300000
Igor Zubeldia,Real Sociedad,22000000
Jon Pacheco,Real Sociedad,15000000
Aritz Elustondo,Real Sociedad,5000000
Aihen Muñoz,Real Sociedad,8000000
Hamari Traoré,Real Sociedad,6000000
Álvaro Odriozola,Real Sociedad,1500000
Martín Zubimendi,Real Sociedad,60000000
Urko González de Zarate,Real Sociedad,1200000
Beñat Turrientes,Real Sociedad,20000000
Jon Ander Olasagasti,Real Sociedad,1200000
Brais Méndez,Real Sociedad,40000000
Arsen Zakharyan,Real Sociedad,18000000
Ander Barrenetxea,Real Sociedad,20000000
Sheraldo Becker,Real Sociedad,7500000
Takefusa Kubo,Real Sociedad,50000000
Mikel Oyarzabal,Real Sociedad,40000000
Umar Sadiq,Real Sociedad,6000000
Unai Simón,Athletic Bilbao,30000000
