Club,Value
Manchester City,1260000000
Arsenal FC,1170000000
Chelsea FC,963200000
Liverpool FC,931000000
Manchester United,854150000
Tottenham Hotspur,788300000
Newcastle United,657650000
Aston Villa,615450000
Brighton & Hove Albion,574600000
West Ham United,481500000
Crystal Palace,438000000
Nottingham Forest,427700000
Brentford FC,403030000
Wolverhampton Wanderers,379700000
AFC Bournemouth,354850000
Everton FC,353100000
Fulham FC,346000000
Southampton FC,283200000
Leicester City,275600000
Ipswich Town,195400000
