Player,Club,Market Value,TmPictureLink
Josep Martínez,Inter Milan,12000000,https://img.a.transfermarkt.technology/portrait/medium/388516-1686153132.jpg?lm=1
Yann Sommer,Inter Milan,5000000,https://img.a.transfermarkt.technology/portrait/medium/42205-1669897427.jpg?lm=1
Andrei Radu,Inter Milan,1500000,https://img.a.transfermarkt.technology/portrait/medium/303657-1699432718.jpg?lm=1
Raffaele Di Gennaro,Inter Milan,300000,https://img.a.transfermarkt.technology/portrait/medium/70580-1692961707.jpg?lm=1
Alessandro Bastoni,Inter Milan,70000000,https://img.a.transfermarkt.technology/portrait/medium/315853-1727024207.jpg?lm=1
Benjamin Pavard,Inter Milan,45000000,https://img.a.transfermarkt.technology/portrait/medium/353366-1713819215.jpg?lm=1
Yann Bisseck,Inter Milan,25000000,https://img.a.transfermarkt.technology/portrait/medium/441986-1687762536.jpg?lm=1
Stefan de Vrij,Inter Milan,7000000,https://img.a.transfermarkt.technology/portrait/medium/111196-1663572651.jpg?lm=1
Tomás Palacios,Inter Milan,6000000,https://img.a.transfermarkt.technology/portrait/medium/993645-1724872197.jpeg?lm=1
Francesco Acerbi,Inter Milan,3500000,https://img.a.transfermarkt.technology/portrait/medium/131075-1663572709.jpg?lm=1
Federico Dimarco,Inter Milan,50000000,https://img.a.transfermarkt.technology/portrait/medium/198116-1725531769.jpg?lm=1
Carlos Augusto,Inter Milan,22000000,https://img.a.transfermarkt.technology/portrait/medium/585982-1725531744.jpg?lm=1
Denzel Dumfries,Inter Milan,20000000,https://img.a.transfermarkt.technology/portrait/medium/321528-1725532091.jpg?lm=1
Matteo Darmian,Inter Milan,4000000,https://img.a.transfermarkt.technology/portrait/medium/54906-1695027410.jpg?lm=1
Hakan Çalhanoğlu,Inter Milan,45000000,https://img.a.transfermarkt.technology/portrait/medium/126414-1709035146.jpg?lm=1
Kristjan Asllani,Inter Milan,18000000,https://img.a.transfermarkt.technology/portrait/medium/543771-1716969431.jpg?lm=1
Nicolò Barella,Inter Milan,80000000,https://img.a.transfermarkt.technology/portrait/medium/255942-1725531625.jpg?lm=1
Davide Frattesi,Inter Milan,35000000,https://img.a.transfermarkt.technology/portrait/medium/394300-1730126974.jpg?lm=1
Piotr Zieliński,Inter Milan,22000000,https://img.a.transfermarkt.technology/portrait/medium/181136-1692962961.jpg?lm=1
Henrikh Mkhitaryan,Inter Milan,6000000,https://img.a.transfermarkt.technology/portrait/medium/55735-1664973670.jpg?lm=1
Tajon Buchanan,Inter Milan,8000000,https://img.a.transfermarkt.technology/portrait/medium/638793-1673727337.jpg?lm=1
Joaquín Correa,Inter Milan,3000000,https://img.a.transfermarkt.technology/portrait/medium/227081-1724826843.jpg?lm=1
Lautaro Martínez,Inter Milan,110000000,https://img.a.transfermarkt.technology/portrait/medium/406625-1695024988.jpg?lm=1
Marcus Thuram,Inter Milan,65000000,https://img.a.transfermarkt.technology/portrait/medium/318528-1662966601.jpg?lm=1
Mehdi Taremi,Inter Milan,10000000,https://img.a.transfermarkt.technology/portrait/medium/307058-1716551799.jpg?lm=1
Marko Arnautovic,Inter Milan,4000000,https://img.a.transfermarkt.technology/portrait/medium/41384-1716316175.jpg?lm=1
Michele Di Gregorio,Juventus FC,18000000,https://img.a.transfermarkt.technology/portrait/medium/301238-1730125609.jpg?lm=1
Mattia Perin,Juventus FC,3000000,https://img.a.transfermarkt.technology/portrait/medium/110923-1695107834.jpg?lm=1
Carlo Pinsoglio,Juventus FC,200000,https://img.a.transfermarkt.technology/portrait/medium/75411-1663577377.jpg?lm=1
Bremer,Juventus FC,60000000,https://img.a.transfermarkt.technology/portrait/medium/516716-1725531520.jpg?lm=1
Federico Gatti,Juventus FC,25000000,https://img.a.transfermarkt.technology/portrait/medium/509022-1725531068.jpg?lm=1
Pierre Kalulu,Juventus FC,20000000,https://img.a.transfermarkt.technology/portrait/medium/585949-1684854558.jpg?lm=1
Danilo,Juventus FC,7000000,https://img.a.transfermarkt.technology/portrait/medium/145707-1663577215.jpg?lm=1
Andrea Cambiaso,Juventus FC,30000000,https://img.a.transfermarkt.technology/portrait/medium/459658-1662127057.jpg?lm=1
Juan Cabal,Juventus FC,9000000,https://img.a.transfermarkt.technology/portrait/medium/686965-1692964112.jpg?lm=1
Jonas Rouhi,Juventus FC,2000000,https://img.a.transfermarkt.technology/portrait/medium/741090-1655243837.jpg?lm=1
Nicolò Savona,Juventus FC,7000000,https://img.a.transfermarkt.technology/portrait/medium/708072-1730125797.jpg?lm=1
Manuel Locatelli,Juventus FC,28000000,https://img.a.transfermarkt.technology/portrait/medium/265088-1730125083.jpg?lm=1
Arthur Melo,Juventus FC,8000000,https://img.a.transfermarkt.technology/portrait/medium/362842-1692880101.jpg?lm=1
Douglas Luiz,Juventus FC,55000000,https://img.a.transfermarkt.technology/portrait/medium/447661-1696598670.jpg?lm=1
Khéphren Thuram,Juventus FC,35000000,https://img.a.transfermarkt.technology/portrait/medium/463618-1683889273.jpg?lm=1
Weston McKennie,Juventus FC,24000000,https://img.a.transfermarkt.technology/portrait/medium/332697-1642687384.jpg?lm=1
Nicolò Fagioli,Juventus FC,20000000,https://img.a.transfermarkt.technology/portrait/medium/432090-1695025310.jpg?lm=1
Teun Koopmeiners,Juventus FC,55000000,https://img.a.transfermarkt.technology/portrait/medium/360518-1707302998.jpg?lm=1
Vasilije Adžić,Juventus FC,2000000,https://img.a.transfermarkt.technology/portrait/medium/944570-1730123395.jpg?lm=1
Kenan Yıldız,Juventus FC,40000000,https://img.a.transfermarkt.technology/portrait/medium/845654-1700467996.png?lm=1
Samuel Mbangula,Juventus FC,8000000,https://img.a.transfermarkt.technology/portrait/medium/654991-1672604946.jpg?lm=1
Nico González,Juventus FC,35000000,https://img.a.transfermarkt.technology/portrait/medium/486031-1673442459.jpg?lm=1
Francisco Conceição,Juventus FC,22000000,https://img.a.transfermarkt.technology/portrait/medium/487474-1713948689.png?lm=1
Timothy Weah,Juventus FC,12000000,https://img.a.transfermarkt.technology/portrait/medium/370846-1692277669.jpg?lm=1
Dušan Vlahović,Juventus FC,65000000,https://img.a.transfermarkt.technology/portrait/medium/357498-1683293071.jpg?lm=1
Arkadiusz Milik,Juventus FC,4000000,https://img.a.transfermarkt.technology/portrait/medium/191891-1661518258.jpg?lm=1
Mike Maignan,AC Milan,38000000,https://img.a.transfermarkt.technology/portrait/medium/182906-1681459155.jpg?lm=1
Marco Sportiello,AC Milan,1500000,https://img.a.transfermarkt.technology/portrait/medium/199976-1661351013.jpg?lm=1
Lorenzo Torriani,AC Milan,500000,https://img.a.transfermarkt.technology/portrait/medium/939745-1730184012.jpg?lm=1
Fikayo Tomori,AC Milan,32000000,https://img.a.transfermarkt.technology/portrait/medium/303254-1684856117.jpg?lm=1
Malick Thiaw,AC Milan,20000000,https://img.a.transfermarkt.technology/portrait/medium/521964-1682063635.jpg?lm=1
Strahinja Pavlović,AC Milan,20000000,https://img.a.transfermarkt.technology/portrait/medium/574671-1692998611.png?lm=1
Matteo Gabbia,AC Milan,12000000,https://img.a.transfermarkt.technology/portrait/medium/323167-1661351918.jpg?lm=1
Theo Hernández,AC Milan,60000000,https://img.a.transfermarkt.technology/portrait/medium/339808-1725532072.jpg?lm=1
Emerson Royal,AC Milan,18000000,https://img.a.transfermarkt.technology/portrait/medium/476344-1665609182.jpg?lm=1
Davide Calabria,AC Milan,10000000,https://img.a.transfermarkt.technology/portrait/medium/262523-1684856316.jpg?lm=1
Filippo Terracciano,AC Milan,4500000,https://img.a.transfermarkt.technology/portrait/medium/631007-1663671440.jpg?lm=1
Álex Jiménez,AC Milan,4000000,https://img.a.transfermarkt.technology/portrait/medium/741257-1730123049.jpg?lm=1
Alessandro Florenzi,AC Milan,2000000,https://img.a.transfermarkt.technology/portrait/medium/130365-1663574873.jpg?lm=1
Youssouf Fofana,AC Milan,30000000,https://img.a.transfermarkt.technology/portrait/medium/569598-1725528517.jpg?lm=1
Ismaël Bennacer,AC Milan,18000000,https://img.a.transfermarkt.technology/portrait/medium/351816-1663575089.jpg?lm=1
Tijjani Reijnders,AC Milan,30000000,https://img.a.transfermarkt.technology/portrait/medium/460939-1676466080.jpg?lm=1
Ruben Loftus-Cheek,AC Milan,25000000,https://img.a.transfermarkt.technology/portrait/medium/202886-1692879593.jpg?lm=1
Yunus Musah,AC Milan,22000000,https://img.a.transfermarkt.technology/portrait/medium/503991-1684913655.jpg?lm=1
Kevin Zeroli,AC Milan,3500000,https://img.a.transfermarkt.technology/portrait/medium/883349-1696430935.jpg?lm=1
Rafael Leão,AC Milan,75000000,https://img.a.transfermarkt.technology/portrait/medium/357164-1730126553.jpg?lm=1
Noah Okafor,AC Milan,20000000,https://img.a.transfermarkt.technology/portrait/medium/346890-1692879855.jpg?lm=1
Christian Pulisic,AC Milan,50000000,https://img.a.transfermarkt.technology/portrait/medium/315779-1691696699.jpg?lm=1
Samuel Chukwueze,AC Milan,20000000,https://img.a.transfermarkt.technology/portrait/medium/401922-1692277617.jpg?lm=1
Tammy Abraham,AC Milan,25000000,https://img.a.transfermarkt.technology/portrait/medium/331726-1725531680.jpg?lm=1
Álvaro Morata,AC Milan,16000000,https://img.a.transfermarkt.technology/portrait/medium/128223-1719989301.jpg?lm=1
