Player,Club,Market Value
Manuel Neuer,Bayern Munich,4000000
Daniel Peretz,Bayern Munich,3000000
Sven Ulreich,Bayern Munich,700000
Dayot Upamecano,Bayern Munich,45000000
Min-jae Kim,Bayern Munich,45000000
,Holstein Kiel,500000
Tarek Buchmann,Bayern Munich,500000
Alphonso Davies,Bayern Munich,50000000
Raphaël Guerreiro,Bayern Munich,12000000
Sacha Boey,Bayern Munich,18000000
Joshua Kimmich,Bayern Munich,50000000
Aleksandar Pavlovic,Bayern Munich,50000000
Konrad Laimer,Bayern Munich,30000000
Leon Goretzka,Bayern Munich,22000000
Jamal Musiala,Bayern Munich,130000000
Serge Gnabry,Bayern Munich,40000000
Kingsley Coman,Bayern Munich,40000000
Mathys Tel,Bayern Munich,40000000
Leroy Sané,Bayern Munich,60000000
Thomas Müller,Bayern Munich,8000000
Harry Kane,Bayern Munich,100000000
Matej Kovar,Bayer 04 Leverkusen,7000000
Lukas Hradecky,Bayer 04 Leverkusen,2500000
Niklas Lomb,Bayer 04 Leverkusen,250000
Edmond Tapsoba,Bayer 04 Leverkusen,45000000
Piero Hincapié,Bayer 04 Leverkusen,40000000
Jonathan Tah,Bayer 04 Leverkusen,30000000
Alejandro Grimaldo,Bayer 04 Leverkusen,45000000
Arthur,Bayer 04 Leverkusen,5000000
Granit Xhaka,Bayer 04 Leverkusen,20000000
Robert Andrich,Bayer 04 Leverkusen,17000000
Exequiel Palacios,Bayer 04 Leverkusen,45000000
Jeremie Frimpong,Bayer 04 Leverkusen,50000000
Nathan Tella,Bayer 04 Leverkusen,23000000
Florian Wirtz,Bayer 04 Leverkusen,130000000
Jonas Hofmann,Bayer 04 Leverkusen,7000000
Francis Onyeka,Bayer 04 Leverkusen,500000
Amine Adli,Bayer 04 Leverkusen,30000000
Victor Boniface,Bayer 04 Leverkusen,45000000
Patrik Schick,Bayer 04 Leverkusen,22000000
Artem Stepanov,Bayer 04 Leverkusen,350000
Péter Gulácsi,RB Leipzig,3000000
Leopold Zingerle,RB Leipzig,400000
Castello Lukeba,RB Leipzig,40000000
El Chadaille Bitshiabu,RB Leipzig,12000000
Willi Orbán,RB Leipzig,10000000
Lukas Klostermann,RB Leipzig,8000000
David Raum,RB Leipzig,25000000
Benjamin Henrichs,RB Leipzig,20000000
Xaver Schlager,RB Leipzig,28000000
Amadou Haidara,RB Leipzig,20000000
Nicolas Seiwald,RB Leipzig,16000000
Kevin Kampl,RB Leipzig,3500000
Christoph Baumgartner,RB Leipzig,18000000
Eljif Elmas,RB Leipzig,15000000
Loïs Openda,RB Leipzig,60000000
Benjamin Sesko,RB Leipzig,50000000
Yussuf Poulsen,RB Leipzig,6000000
Gregor Kobel,Borussia Dortmund,40000000
Marcel Lotka,Borussia Dortmund,1300000
Alexander Meyer,Borussia Dortmund,800000
Nico Schlotterbeck,Borussia Dortmund,40000000
Niklas Süle,Borussia Dortmund,15000000
Ramy Bensebaini,Borussia Dortmund,7000000
Julian Ryerson,Borussia Dortmund,20000000
Emre Can,Borussia Dortmund,10000000
Felix Nmecha,Borussia Dortmund,20000000
Marcel Sabitzer,Borussia Dortmund,20000000
Julian Brandt,Borussia Dortmund,40000000
Karim Adeyemi,Borussia Dortmund,35000000
Jamie Gittens,Borussia Dortmund,35000000
Julien Duranville,Borussia Dortmund,8500000
Donyell Malen,Borussia Dortmund,40000000
Dennis Seimen,VfB Stuttgart,1500000
Fabian Bredlow,VfB Stuttgart,1000000
Dan-Axel Zagadou,VfB Stuttgart,10000000
Maximilian Mittelstädt,VfB Stuttgart,17000000
Josha Vagnoman,VfB Stuttgart,10000000
Pascal Stenzel,VfB Stuttgart,2500000
Angelo Stiller,VfB Stuttgart,28000000
Atakan Karazor,VfB Stuttgart,12000000
Nikolas Nartey,VfB Stuttgart,600000
Enzo Millot,VfB Stuttgart,42000000
Chris Führich,VfB Stuttgart,22000000
Kevin Trapp,Eintracht Frankfurt,4000000
Kauã Santos,Eintracht Frankfurt,2500000
Jens Grahl,Eintracht Frankfurt,200000
Tuta,Eintracht Frankfurt,12000000
Nnamdi Collins,Eintracht Frankfurt,1000000
Niels Nkounkou,Eintracht Frankfurt,7500000
Timothy Chandler,Eintracht Frankfurt,500000
Ellyes Skhiri,Eintracht Frankfurt,11000000
Hugo Larsson,Eintracht Frankfurt,28000000
Junior Dina Ebimbe,Eintracht Frankfurt,9000000
Farès Chaïbi,Eintracht Frankfurt,18000000
Mario Götze,Eintracht Frankfurt,5500000
Jean-Mattéo Bahoya,Eintracht Frankfurt,7500000
Ansgar Knauff,Eintracht Frankfurt,10000000
Omar Marmoush,Eintracht Frankfurt,40000000
Pavao Pervan,VfL Wolfsburg,300000
Niklas Klinger,VfL Wolfsburg,100000
Sebastiaan Bornauw,VfL Wolfsburg,7000000
Cédric Zesiger,VfL Wolfsburg,5000000
Rogério,VfL Wolfsburg,5000000
Joakim Maehle,VfL Wolfsburg,14000000
Ridle Baku,VfL Wolfsburg,7000000
Kilian Fischer,VfL Wolfsburg,2500000
Aster Vranckx,VfL Wolfsburg,12000000
Mattias Svanberg,VfL Wolfsburg,12000000
Maximilian Arnold,VfL Wolfsburg,7000000
Yannick Gerhardt,VfL Wolfsburg,4000000
Kevin Paredes,VfL Wolfsburg,7500000
Lovro Majer,VfL Wolfsburg,20000000
Bennit Bröger,VfL Wolfsburg,500000
Jakub Kaminski,VfL Wolfsburg,6000000
David Leal Costa,VfL Wolfsburg,0
Patrick Wimmer,VfL Wolfsburg,15000000
Jonas Wind,VfL Wolfsburg,15000000
Tiago Tomás,VfL Wolfsburg,6000000
Lukas Nmecha,VfL Wolfsburg,5000000
Kevin Behrens,VfL Wolfsburg,2000000
Noah Atubolu,SC Freiburg,10000000
Florian Müller,SC Freiburg,1200000
Philipp Lienhart,SC Freiburg,15000000
Matthias Ginter,SC Freiburg,10000000
Max Rosenfelder,SC Freiburg,2500000
Kenneth Schmidt,SC Freiburg,2000000
Manuel Gulde,SC Freiburg,1500000
Christian Günter,SC Freiburg,5000000
Jordy Makengo,SC Freiburg,3500000
Kiliann Sildillia,SC Freiburg,15000000
Lukas Kübler,SC Freiburg,2000000
Nicolas Höfler,SC Freiburg,1000000
Maximilian Eggestein,SC Freiburg,10000000
Merlin Röhl,SC Freiburg,12000000
Daniel-Kofi Kyereh,SC Freiburg,3500000
Vincenzo Grifo,SC Freiburg,9000000
Noah Weißhaupt,SC Freiburg,5000000
Florent Muslija,SC Freiburg,2500000
Ritsu Doan,SC Freiburg,18000000
Michael Gregoritsch,SC Freiburg,8000000
Junior Adamu,SC Freiburg,6000000
Lucas Höler,SC Freiburg,4000000
Oliver Baumann,TSG 1899 Hoffenheim,3000000
Luca Philipp,TSG 1899 Hoffenheim,300000
Ozan Kabak,TSG 1899 Hoffenheim,10000000
Tim Drexler,TSG 1899 Hoffenheim,4000000
Kevin Akpoguma,TSG 1899 Hoffenheim,3000000
Stanley Nsoki,TSG 1899 Hoffenheim,2500000
Marco John,TSG 1899 Hoffenheim,1500000
Pavel Kaderabek,TSG 1899 Hoffenheim,3000000
Anton Stach,TSG 1899 Hoffenheim,15000000
Florian Grillitsch,TSG 1899 Hoffenheim,6500000
Grischa Prömel,TSG 1899 Hoffenheim,7000000
Umut Tohumcu,TSG 1899 Hoffenheim,7000000
Tom Bischof,TSG 1899 Hoffenheim,3500000
Dennis Geiger,TSG 1899 Hoffenheim,3000000
Finn Ole Becker,TSG 1899 Hoffenheim,2500000
Marius Bülter,TSG 1899 Hoffenheim,2500000
Mergim Berisha,TSG 1899 Hoffenheim,10000000
Andrej Kramaric,TSG 1899 Hoffenheim,5000000
Ihlas Bebou,TSG 1899 Hoffenheim,4000000
Max Moerstedt,TSG 1899 Hoffenheim,3000000
Jonas Omlin,Borussia Mönchengladbach,6000000
Moritz Nicolas,Borussia Mönchengladbach,2500000
Jan Olschowsky,Borussia Mönchengladbach,600000
Tobias Sippel,Borussia Mönchengladbach,300000
Ko Itakura,Borussia Mönchengladbach,15000000
Nico Elvedi,Borussia Mönchengladbach,10000000
Marvin Friedrich,Borussia Mönchengladbach,3500000
Fabio Chiarodia,Borussia Mönchengladbach,2000000
Luca Netz,Borussia Mönchengladbach,8000000
Lukas Ullrich,Borussia Mönchengladbach,750000
Joe Scally,Borussia Mönchengladbach,10000000
Stefan Lainer,Borussia Mönchengladbach,2500000
Julian Weigl,Borussia Mönchengladbach,6000000
Rocco Reitz,Borussia Mönchengladbach,10000000
Florian Neuhaus,Borussia Mönchengladbach,5000000
Robin Hack,Borussia Mönchengladbach,8000000
Franck Honorat,Borussia Mönchengladbach,12000000
Nathan Ngoumou,Borussia Mönchengladbach,5000000
Alassane Pléa,Borussia Mönchengladbach,7000000
Tomas Cvancara,Borussia Mönchengladbach,6500000
Grant-Leon Ranos,Borussia Mönchengladbach,1000000
Shio Fukuda,Borussia Mönchengladbach,300000
Frederik Rönnow,1.FC Union Berlin,4500000
Alexander Schwolow,1.FC Union Berlin,700000
Danilho Doekhi,1.FC Union Berlin,17000000
Diogo Leite,1.FC Union Berlin,15000000
Kevin Vogt,1.FC Union Berlin,2000000
Oluwaseun Ogbemudia,1.FC Union Berlin,0
Jérôme Roussillon,1.FC Union Berlin,2500000
Josip Juranovic,1.FC Union Berlin,7500000
Christopher Trimmel,1.FC Union Berlin,600000
Lucas Tousart,1.FC Union Berlin,5500000
Rani Khedira,1.FC Union Berlin,5000000
András Schäfer,1.FC Union Berlin,5000000
Janik Haberer,1.FC Union Berlin,3000000
Yorbe Vertessen,1.FC Union Berlin,5000000
Benedict Hollerbach,1.FC Union Berlin,5000000
Kevin Volland,1.FC Union Berlin,4000000
Michael Zetterer,SV Werder Bremen,4000000
Marco Friedl,SV Werder Bremen,7500000
Niklas Stark,SV Werder Bremen,5500000
Milos Veljkovic,SV Werder Bremen,4500000
Amos Pieper,SV Werder Bremen,4000000
Julián Malatini,SV Werder Bremen,2500000
Anthony Jung,SV Werder Bremen,1000000
Mitchell Weiser,SV Werder Bremen,6000000
Felix Agu,SV Werder Bremen,6000000
Senne Lynen,SV Werder Bremen,7000000
Jens Stage,SV Werder Bremen,9000000
Leonardo Bittencourt,SV Werder Bremen,2500000
Naby Keïta,SV Werder Bremen,1000000
Olivier Deman,SV Werder Bremen,4000000
Leon Opitz,SV Werder Bremen,600000
Romano Schmid,SV Werder Bremen,13000000
Isak Hansen-Aarøen,SV Werder Bremen,1500000
Justin Njinmah,SV Werder Bremen,9000000
Marvin Ducksch,SV Werder Bremen,9000000
Finn Dahmen,FC Augsburg,3500000
Maximilian Bauer,FC Augsburg,3000000
Jeffrey Gouweleeuw,FC Augsburg,2000000
Reece Oxford,FC Augsburg,700000
Mads Pedersen,FC Augsburg,2500000
Robert Gumny,FC Augsburg,2000000
Tim Breithaupt,FC Augsburg,3000000
Arne Maier,FC Augsburg,5000000
Elvis Rexhbecaj,FC Augsburg,3500000
Fredrik Jensen,FC Augsburg,3500000
Mert Kömür,FC Augsburg,2000000
Rubén Vargas,FC Augsburg,9000000
Phillip Tietz,FC Augsburg,5000000
Robin Zentner,1.FSV Mainz 05,3000000
Daniel Batz,1.FSV Mainz 05,350000
Lasse Rieß,1.FSV Mainz 05,200000
Andreas Hanche-Olsen,1.FSV Mainz 05,9000000
Maxim Leitsch,1.FSV Mainz 05,2000000
Stefan Bell,1.FSV Mainz 05,800000
Maxim Dal,1.FSV Mainz 05,0
Phillipp Mwene,1.FSV Mainz 05,1800000
Silvan Widmer,1.FSV Mainz 05,2500000
Danny da Costa,1.FSV Mainz 05,800000
Dominik Kohr,1.FSV Mainz 05,3000000
Nadiem Amiri,1.FSV Mainz 05,9000000
Anthony Caci,1.FSV Mainz 05,7000000
Jae-sung Lee,1.FSV Mainz 05,2500000
Jonathan Burkardt,1.FSV Mainz 05,15000000
Nelson Weiper,1.FSV Mainz 05,5000000
Karim Onisiwo,1.FSV Mainz 05,1500000
Kevin Müller,1.FC Heidenheim 1846,1000000
Frank Feller,1.FC Heidenheim 1846,350000
Vitus Eicher,1.FC Heidenheim 1846,250000
Paul Tschernuth,1.FC Heidenheim 1846,100000
Patrick Mainka,1.FC Heidenheim 1846,3000000
Benedikt Gimber,1.FC Heidenheim 1846,2800000
Tim Siersleben,1.FC Heidenheim 1846,1500000
Thomas Keller,1.FC Heidenheim 1846,350000
Jonas Föhrenbach,1.FC Heidenheim 1846,2000000
Omar Traoré,1.FC Heidenheim 1846,3500000
Marnon Busch,1.FC Heidenheim 1846,1200000
Lennard Maloney,1.FC Heidenheim 1846,5000000
Norman Theuerkauf,1.FC Heidenheim 1846,300000
Luka Janes,1.FC Heidenheim 1846,200000
Jan Schöppner,1.FC Heidenheim 1846,3500000
Adrian Beck,1.FC Heidenheim 1846,1500000
Denis Thomalla,1.FC Heidenheim 1846,750000
Marvin Pieringer,1.FC Heidenheim 1846,4500000
Stefan Schimmer,1.FC Heidenheim 1846,500000
Manuel Riemann,VfL Bochum,300000
Erhan Masovic,VfL Bochum,4000000
Tim Oermann,VfL Bochum,4000000
Noah Loosli,VfL Bochum,800000
Mohammed Tolba,VfL Bochum,200000
Bernardo,VfL Bochum,7000000
Maximilian Wittek,VfL Bochum,2000000
Felix Passlack,VfL Bochum,2500000
Cristian Gamboa,VfL Bochum,500000
Anthony Losilla,VfL Bochum,500000
Matus Bero,VfL Bochum,3500000
Agon Elezi,VfL Bochum,800000
Lukas Daschner,VfL Bochum,1200000
Moritz-Broni Kwarteng,VfL Bochum,1200000
Moritz Broschinski,VfL Bochum,3000000
Philipp Hofmann,VfL Bochum,1800000
Nikola Vasilj,FC St. Pauli,2000000
Sascha Burchert,FC St. Pauli,200000
Sören Ahlers,FC St. Pauli,50000
Eric Smith,FC St. Pauli,4000000
Hauke Wahl,FC St. Pauli,1500000
Karol Mets,FC St. Pauli,1300000
David Nemeth,FC St. Pauli,800000
Adam Dzwigala,FC St. Pauli,600000
Philipp Treu,FC St. Pauli,2500000
Lars Ritzka,FC St. Pauli,900000
Manolis Saliakas,FC St. Pauli,2500000
Connor Metcalfe,FC St. Pauli,2500000
Jackson Irvine,FC St. Pauli,2000000
Carlo Boukhalfa,FC St. Pauli,700000
Erik Ahlstrand,FC St. Pauli,700000
Elias Saad,FC St. Pauli,4000000
Oladapo Afolayan,FC St. Pauli,3000000
Danel Sinani,FC St. Pauli,500000
Johannes Eggestein,FC St. Pauli,2000000
Simon Zoller,FC St. Pauli,350000
Andreas Albers,FC St. Pauli,300000
Maurides,FC St. Pauli,300000
Timon Weiner,Holstein Kiel,1500000
Thomas Dähne,Holstein Kiel,400000
Marcel Engelhardt,Holstein Kiel,175000
Tyler Doğan,Holstein Kiel,75000
Colin Kleine-Bekel,Holstein Kiel,3000000
Timo Becker,Holstein Kiel,2000000
Marco Komenda,Holstein Kiel,900000
Carl Johansson,Holstein Kiel,700000
Lasse Rosenboom,Holstein Kiel,500000
Marko Ivezic,Holstein Kiel,3000000
Patrick Erras,Holstein Kiel,1000000
Marvin Schulz,Holstein Kiel,700000
Nicolai Remberg,Holstein Kiel,1800000
Lewis Holtby,Holstein Kiel,500000
Aurel Wagbe,Holstein Kiel,100000
Finn Porath,Holstein Kiel,1500000
Steven Skrzybski,Holstein Kiel,1300000
Alexander Bernhardsson,Holstein Kiel,1500000
Shuto Machino,Holstein Kiel,3500000
Benedikt Pichler,Holstein Kiel,2000000
Fiete Arp,Holstein Kiel,800000
