name,uri
8,http://www.wikidata.org/entity/Q340894
defender,http://www.wikidata.org/entity/Q336286
outrunner,http://www.wikidata.org/entity/Q789822
midfielder,http://www.wikidata.org/entity/Q193592
left winger,http://www.wikidata.org/entity/Q114358158
Q1890607,http://www.wikidata.org/entity/Q1890607
sweeper,http://www.wikidata.org/entity/Q1489923
second striker,http://www.wikidata.org/entity/Q1642283
wing-back,http://www.wikidata.org/entity/Q107213256
right back,http://www.wikidata.org/entity/Q124355618
goalkeeper,http://www.wikidata.org/entity/Q201330
right midfielder,http://www.wikidata.org/entity/Q114358123
forward,http://www.wikidata.org/entity/Q280658
stopper,http://www.wikidata.org/entity/Q904289
wing half,http://www.wikidata.org/entity/Q8025128
winger,http://www.wikidata.org/entity/Q11681748
centre-back,http://www.wikidata.org/entity/Q268258
right winger,http://www.wikidata.org/entity/Q114358150
attacking midfielder,http://www.wikidata.org/entity/Q90326494
left back,http://www.wikidata.org/entity/Q124650007
Vice-captain,http://www.wikidata.org/entity/Q7925008
defensive midfielder,http://www.wikidata.org/entity/Q18691898
wide midfielder,http://www.wikidata.org/entity/Q16501245
central midfielder,http://www.wikidata.org/entity/Q6008848
playmaker,http://www.wikidata.org/entity/Q1201458
left midfielder,http://www.wikidata.org/entity/Q114358125
centre-forward,http://www.wikidata.org/entity/Q9731197
centerhalf,http://www.wikidata.org/entity/Q1109563
libero goalkeeper,http://www.wikidata.org/entity/Q5705105
inside forward,http://www.wikidata.org/entity/Q6037916
inverted winger,http://www.wikidata.org/entity/Q21707087
association football captain,http://www.wikidata.org/entity/Q715772
false 9,http://www.wikidata.org/entity/Q110125430
full-back,http://www.wikidata.org/entity/Q90173132
